epoch,phase,loss,acc,auc,f1,lr,elapsed_s
1,train,0.4266718077607904,0.80717712979736,0.8794515722226369,0.7552658469855292,0.0005317043548493301,69.6898193359375
1,val,0.33228158396007856,0.8587898436553145,0.9359340028774615,0.8319117090148413,0.0005317043548493301,11.18578839302063
2,train,0.33250444692518055,0.8599505249420518,0.9275977123381542,0.8228133009134521,0.00038502127876449227,70.38223671913147
2,val,0.24214769687461588,0.9019664283117198,0.9614481003154343,0.8730803177405119,0.00038502127876449227,11.061959266662598
3,train,0.2942683145778188,0.8786108027035977,0.9431697389627147,0.8463232997418995,0.000203711025574859,71.02159190177917
3,val,0.22002182019224978,0.9124651557386984,0.968030201007291,0.8920161471181879,0.000203711025574859,11.24866771697998
4,train,0.2700644184943488,0.8906679132823,0.9517785778163239,0.8617271988241187,5.70279494900212e-05,69.61685156822205
4,val,0.2047414584644071,0.9205247848745607,0.9714027934614556,0.899866386715022,5.70279494900212e-05,11.3967125415802
5,train,0.25408384054383537,0.8980437224462234,0.9569627262021776,0.8710956418949425,1e-06,70.65599822998047
5,val,0.1936530544044552,0.9245848988001454,0.9744397804893541,0.9043832353732089,1e-06,11.236977815628052
