Feature,Rank_MI,Rank_ANOVA,Rank_Chi2,Rank_KL,Avg_Rank
Edge_density,3,4,4,4,3.75
GLCM_homogeneity,6,3,1,6,4.0
GLCM_energy,4,5,2,11,5.5
LBP_bin24,5,2,10,8,6.25
GLCM_contrast,7,16,7,3,8.25
A_mean,16,1,3,15,8.75
B_lab_mean,10,11,5,13,9.75
H_mean,14,8,13,10,11.25
B_std,9,17,14,5,11.25
R_std,1,25,26,2,13.5
G_std,15,15,16,9,13.75
Sharpness,11,22,19,7,14.75
S_mean,21,13,6,20,15.0
G_mean,18,14,8,22,15.5
LBP_bin21,28,7,9,21,16.25
LBP_bin25,19,6,21,23,17.25
L_mean,17,19,18,18,18.0
LBP_bin22,24,9,17,24,18.5
LBP_bin17,27,12,11,25,18.75
LBP_bin20,25,10,12,30,19.25
R_mean,13,31,31,16,22.75
B_mean,12,32,33,14,22.75
GLCM_dissimilarity,2,46,46,1,23.75
LBP_entropy,32,18,15,31,24.0
LBP_bin13,22,24,24,27,24.25
V_mean,8,39,40,12,24.75
GLCM_correlation,30,21,20,34,26.25
LBP_bin06,29,20,22,37,27.0
LBP_bin15,26,28,27,28,27.25
LBP_bin00,20,37,42,17,29.0
LBP_bin04,42,27,28,33,32.5
LBP_bin05,43,23,23,42,32.75
LBP_bin23,23,45,45,19,33.0
LBP_bin02,36,33,34,29,33.0
LBP_bin01,34,36,37,26,33.25
LBP_bin16,37,30,30,39,34.0
LBP_bin11,31,34,35,36,34.0
LBP_bin19,46,26,25,46,35.75
LBP_bin07,41,29,29,44,35.75
LBP_bin18,44,35,32,32,35.75
LBP_bin10,33,41,41,38,38.25
LBP_bin09,45,38,36,35,38.5
LBP_bin08,39,42,39,41,40.25
LBP_bin14,40,40,38,45,40.75
LBP_bin03,38,43,43,40,41.0
LBP_bin12,35,44,44,43,41.5
