Dataset_Track,Classifier,Accuracy,AUC-ROC,F1
Full96 Selected Features,Random Forest,0.819,0.910958,0.8158697863682605
Full96 Selected Features,SVM (RBF),0.813,0.899292,0.8101522842639594
Full96 Selected Features,Gradient Boosting,0.808,0.8987160000000001,0.806841046277666
Full96 All Features,Gradient Boosting,0.802,0.890136,0.8004032258064516
Full96 All Features,Random Forest,0.808,0.885996,0.8020618556701031
Full96 Selected Features,Logistic Regression,0.794,0.875936,0.7948207171314741
Full96 All Features,SVM (RBF),0.799,0.8720959999999999,0.7992007992007992
Full96 All Features,Logistic Regression,0.783,0.8651200000000001,0.7836490528414756
Full96 Selected Features,K-Nearest Neighbors,0.788,0.8623780000000001,0.7953667953667953
Crop32 Selected Features,Gradient Boosting,0.775,0.856716,0.7715736040609137
Crop32 Selected Features,Random Forest,0.759,0.855766,0.7548321464903357
Crop32 Selected Features,SVM (RBF),0.77,0.846318,0.7695390781563126
Crop32 All Features,Random Forest,0.761,0.838832,0.7543679342240494
Crop32 All Features,Gradient Boosting,0.757,0.8375319999999999,0.7532994923857868
Crop32 Selected Features,Logistic Regression,0.761,0.831356,0.7645320197044335
Crop32 All Features,SVM (RBF),0.745,0.821356,0.7472745292368682
Crop32 All Features,Logistic Regression,0.75,0.811476,0.7553816046966731
Crop32 Selected Features,K-Nearest Neighbors,0.731,0.801304,0.740096618357488
Full96 All Features,K-Nearest Neighbors,0.735,0.7999799999999999,0.7424684159378037
Crop32 All Features,K-Nearest Neighbors,0.685,0.751036,0.7112740604949588
