Feature,KL_Divergence
GLCM_homogeneity,1.0344446948851425
B_std,0.9466963225787398
R_std,0.8951561865547704
GLCM_dissimilarity,0.8624966873365927
GLCM_contrast,0.7904709093117184
Edge_density,0.724618592683395
H_mean,0.7233266394325037
GLCM_energy,0.6877168975356166
G_std,0.6664956959318368
LBP_bin00,0.6483190020978238
LBP_bin24,0.6102789084966604
B_lab_mean,0.6062524356380483
B_mean,0.6038106275385846
V_mean,0.5926868867653907
Sharpness,0.5650853562225219
LBP_bin17,0.5636542579813746
R_mean,0.45117716869306035
A_mean,0.44481604769688365
L_mean,0.40360453658476236
LBP_bin15,0.38859398899948827
LBP_bin01,0.36747963687420504
LBP_bin25,0.36545115147944107
G_mean,0.35435122769663097
LBP_bin13,0.3526936029462644
S_mean,0.29236811953662933
LBP_bin23,0.185384029904807
LBP_bin21,0.18013162984431005
LBP_entropy,0.1754229849858227
LBP_bin22,0.16801668428798416
GLCM_correlation,0.15813872590293823
LBP_bin09,0.14543868057348616
LBP_bin02,0.13930890489385397
LBP_bin20,0.11458132897130219
LBP_bin11,0.09797446099323051
LBP_bin08,0.09719656284050046
LBP_bin03,0.08247996185145254
LBP_bin06,0.0791975598467978
LBP_bin07,0.07657106262330421
LBP_bin19,0.07432955242179043
LBP_bin10,0.06994670438032692
LBP_bin12,0.06867096506197516
LBP_bin04,0.06416345802562619
LBP_bin14,0.05894280445018322
LBP_bin05,0.05480443722053012
LBP_bin16,0.05072169534437906
LBP_bin18,0.038695408246559794
