model,features,accuracy,precision,recall,f1,roc_auc
logistic_regression,all,0.779548,0.737819,0.706896,0.722026,0.846505
logistic_regression,selected,0.779911,0.738037,0.707849,0.722628,0.846264
random_forest,all,0.820270,0.801154,0.739887,0.769303,0.894011
random_forest,selected,0.831565,0.812211,0.759805,0.785135,0.903436
naive_bayes,all,0.694830,0.588063,0.823150,0.686026,0.798925
naive_bayes,selected,0.643995,0.537101,0.876003,0.665913,0.764510
xgboost,all,0.833405,0.810194,0.768782,0.788945,0.908255
xgboost,selected,0.839086,0.817548,0.775851,0.796154,0.912273
catboost,all,0.835405,0.816653,0.765472,0.790234,0.907812
catboost,selected,0.838200,0.818333,0.771868,0.794422,0.910474
